id,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,review_scores_rating
4719825,40.79973377,-73.97109978,Apartment,Entire home/apt,4,1,1,1,Real Bed,160,93
7603430,40.80074743,-73.96428656,Apartment,Private room,2,1,1,1,Real Bed,95,
8129808,40.7791133,-73.98464082,Apartment,Entire home/apt,2,1,1,1,Real Bed,220,
527058,40.78347787,-73.97759449,Apartment,Entire home/apt,4,1,2,3,Real Bed,325,94
789814,40.78507129,-73.97963575,Apartment,Entire home/apt,6,1,2,3,Real Bed,220,90
8129493,40.77904554,-73.97589332,Apartment,Entire home/apt,4,1,2,2,Real Bed,350,
6818783,40.78460088,-73.97703834,Apartment,Entire home/apt,6,1,2,2,Real Bed,250,100
5396306,40.79613435,-73.96686504,Apartment,Entire home/apt,2,1.5,2,2,Real Bed,100,
7998694,40.79269675,-73.97457165,Apartment,Entire home/apt,2,1,0,1,Real Bed,70,40
2272500,40.79825085,-73.96791482,Apartment,Entire home/apt,2,1,0,2,Real Bed,400,
1838904,40.77891587,-73.98348811,Apartment,Entire home/apt,2,1,0,1,Real Bed,140,99
528255,40.78832287,-73.97500375,Apartment,Entire home/apt,4,,1,1,Real Bed,189,90
7999409,40.78128852,-73.98571567,Apartment,Shared room,1,1,1,1,Couch,54,
3736222,40.77801308,-73.98172483,Apartment,Entire home/apt,2,1,0,1,Real Bed,225,100
6819865,40.79066509,-73.97242589,Apartment,Entire home/apt,6,2,3,5,Real Bed,425,100
5902822,40.7952349,-73.96326326,Apartment,Entire home/apt,2,1,1,1,Real Bed,235,92
1708541,40.79139807,-73.97606796,Apartment,Entire home/apt,2,1,1,2,Real Bed,180,93
3544526,40.77724642,-73.97560243,Apartment,Private room,2,1,1,1,Real Bed,109,88
660036,40.78754433,-73.9698928,Apartment,Private room,1,1,1,1,Real Bed,154,97
1970808,40.78696955,-73.97001447,Apartment,Entire home/apt,2,1,1,1,Real Bed,288,
4855422,40.78340634,-73.97373171,Apartment,Entire home/apt,4,1,1,2,Real Bed,150,80
3675787,40.77549592,-73.97668883,Apartment,Entire home/apt,2,1,1,1,Real Bed,399,100
1840820,40.78727083,-73.97246167,Apartment,Entire home/apt,3,1,1,1,Real Bed,230,92
634328,40.77752548,-73.97968111,Apartment,Shared room,4,1,1,2,Real Bed,190,98
7869203,40.77389618,-73.98613359,Apartment,Private room,2,1,1,1,Real Bed,135,
64627,40.7824049,-73.98120741,Apartment,Entire home/apt,2,1,0,1,Real Bed,200,94
6689632,40.78194229,-73.97574993,Apartment,Entire home/apt,3,1,0,2,Real Bed,158,100
4593564,40.77537589,-73.98173456,Apartment,Entire home/apt,4,1,0,2,Real Bed,180,
2626457,40.80346996,-73.97043857,Apartment,Private room,2,1,1,1,Real Bed,102,87
1972126,40.79448005,-73.97060406,Apartment,Entire home/apt,4,2,2,1,Real Bed,490,97
6951995,40.78400065,-73.97364977,Apartment,Entire home/apt,4,1,1,2,Real Bed,190,93
1579052,40.79850802,-73.96451397,Apartment,Private room,1,1,1,1,Real Bed,96,92
3937503,40.79969617,-73.96994044,Apartment,Private room,2,1,1,1,Real Bed,85,100
267553,40.76981555,-73.98664142,Apartment,Entire home/apt,3,1,1,2,Real Bed,220,100
3675465,40.79783083,-73.9647321,Apartment,Entire home/apt,4,1,1,2,Real Bed,95,
530576,40.78111108,-73.97738622,Apartment,Private room,1,1,1,1,Real Bed,94,95
3677309,40.78230627,-73.97992781,Apartment,Private room,2,1,1,1,Real Bed,119,89
8133796,40.77112358,-73.98528333,Apartment,Private room,2,1,1,1,Real Bed,145,
4594993,40.78017517,-73.9760697,Apartment,Entire home/apt,4,1,1,2,Real Bed,240,92
8134035,40.77149395,-73.985726,Apartment,Private room,2,1,1,1,Real Bed,130,
7872172,40.79942864,-73.96800038,Apartment,Private room,2,1,1,1,Real Bed,65,
4988633,40.79306443,-73.967838,Apartment,Private room,1,1,1,1,Real Bed,90,100
4857614,40.80108225,-73.96299053,Apartment,Private room,2,1,1,1,Real Bed,110,95
1842931,40.79899972,-73.96777258,Apartment,Private room,1,2,1,1,Real Bed,75,99
4464418,40.78962023,-73.97717634,Apartment,Entire home/apt,2,1,1,1,Real Bed,165,93
2236551,40.78497907,-73.97696736,Apartment,Entire home/apt,4,1,1,2,Real Bed,129,98
2236318,40.77838738,-73.97780845,Apartment,Entire home/apt,4,1,2,2,Real Bed,175,
7874697,40.7702787,-73.98722219,Apartment,Entire home/apt,2,1,1,1,Real Bed,80,
4728060,40.78793248,-73.976569,Apartment,Private room,2,1,1,1,Real Bed,80,91
6957272,40.80261793,-73.96907133,Apartment,Entire home/apt,3,1,1,1,Real Bed,134,100
7254172,40.79166633,-73.97983134,Apartment,Entire home/apt,1,1,1,1,Real Bed,130,
