Year,Population,White,Black,Asian,Other,Hispanic_Latino
1970,7894862,6048841,1668115,94499,83407,1278630
1980,7071639,4294075,1784337,231501,761762,1406024
1990,7322564,3827088,2102512,512719,880245,1783511
2000,8008278,3576385,2129762,792477,1509654,2160554
2010,8175133,3597341,2088510,1043535,1445747,2336076
